,transaction_id,transaction_name,transaction_amt,location,is_fraud
0,txn_1,shreyas mukadam,4492,chm,0
1,txn_2,swapnil ambd,3170,tn,0
2,txn_3,swapnil ambd,3797,tn,0
3,txn_4,Arya Bailur,880,ghk,0
4,txn_5,lakshya kanjwani,2008,ghk,0
5,txn_6,Aarya palkar,2248,ghk,0
6,txn_7,swapnil ambd,4026,tn,0
7,txn_8,Anika agrawal,2361,chm,0
8,txn_9,Anika agrawal,2693,chm,0
9,txn_10,Aarya palkar,9,chm,0
10,txn_11,Anika agrawal,1555,chm,0
11,txn_12,tanay malvankar,4904,tn,0
12,txn_13,Aarya makhija,458,ghk,0
13,txn_14,Aarya palkar,4454,tn,0
14,txn_15,Anika agrawal,4574,chm,0
15,txn_16,mihika,4593,tn,0
16,txn_17,neira,3267,ghk,0
17,txn_18,gayatri ghuge,1088,chm,0
18,txn_19,russell saho,4840,chm,0
19,txn_20,Aarya makhija,1208,chm,0
20,txn_21,russell saho,53,chm,0
21,txn_22,suchit baravkar,2114,tn,0
22,txn_23,Aarya palkar,3572,tn,0
23,txn_24,mihika,1110,ghk,0
24,txn_25,tanay malvankar,883,chm,0
25,txn_26,Aarya palkar,512,chm,0
26,txn_27,suchit baravkar,2800,tn,0
27,txn_28,Aarya makhija,2031,chm,0
28,txn_29,tanay malvankar,3905,chm,0
29,txn_30,devv chand,1533,tn,0
30,txn_31,krish kanal,173,tn,0
31,txn_32,krish kanal,1496,ghk,0
32,txn_33,Arya Bailur,2769,chm,0
33,txn_34,Aarya makhija,875,tn,0
34,txn_35,swapnil ambd,3277,ghk,0
35,txn_36,lakshya kanjwani,741,chm,0
36,txn_37,Anika agrawal,2100,chm,0
37,txn_38,gayatri ghuge,4841,ghk,0
38,txn_39,gayatri ghuge,390,ghk,0
39,txn_40,russell saho,2459,ghk,0
40,txn_41,Aarya makhija,37,tn,0
41,txn_42,mihika,687,chm,0
42,txn_43,Arya Bailur,775,tn,0
43,txn_44,lakshya kanjwani,3084,chm,0
44,txn_45,Aarya palkar,1807,tn,0
45,txn_46,devv chand,795,tn,0
46,txn_47,Anika agrawal,2414,ghk,0
47,txn_48,Aarya makhija,1117,ghk,0
48,txn_49,shreyas mukadam,3174,tn,0
49,txn_50,suchit baravkar,2705,ghk,0
50,txn_51,suchit baravkar,1365,tn,0
51,txn_52,lakshya kanjwani,3428,chm,0
52,txn_53,neira,107,chm,0
53,txn_54,lakshya kanjwani,3445,ghk,0
54,txn_55,Anika agrawal,3480,tn,0
55,txn_56,swapnil ambd,4827,chm,0
56,txn_57,mihika,3848,tn,0
57,txn_58,russell saho,1798,ghk,0
58,txn_59,shreyas mukadam,2387,tn,0
59,txn_60,irisha deshpande,3654,tn,0
60,txn_61,gayatri ghuge,3265,ghk,0
61,txn_62,krish kanal,3899,tn,0
62,txn_63,Aarya palkar,3437,tn,0
63,txn_64,lakshya kanjwani,3946,ghk,0
64,txn_65,irisha deshpande,3018,chm,0
65,txn_66,neira,1496,chm,0
66,txn_67,krish kanal,1638,chm,0
67,txn_68,neira,1286,ghk,0
68,txn_69,shreyas mukadam,3400,ghk,0
69,txn_70,suchit baravkar,3540,chm,0
70,txn_71,Arya Bailur,3615,chm,0
71,txn_72,mihika,798,tn,0
72,txn_73,mihika,2508,ghk,0
73,txn_74,Aarya makhija,1217,chm,0
74,txn_75,swapnil ambd,4660,chm,0
75,txn_76,tanay malvankar,415,chm,0
76,txn_77,russell saho,2447,tn,0
77,txn_78,irisha deshpande,35,chm,0
78,txn_79,mihika,3491,chm,0
79,txn_80,Aarya makhija,2353,tn,0
80,txn_81,shreyas mukadam,4129,chm,0
81,txn_82,Arya Bailur,3036,ghk,0
82,txn_83,Anika agrawal,1988,chm,0
83,txn_84,swapnil ambd,2818,chm,0
84,txn_85,suchit baravkar,2399,tn,0
85,txn_86,irisha deshpande,3554,tn,0
86,txn_87,Arya Bailur,3760,ghk,0
87,txn_88,suchit baravkar,566,tn,0
88,txn_89,devv chand,2906,ghk,0
89,txn_90,neira,2341,tn,0
90,txn_91,Aarya makhija,2679,tn,0
91,txn_92,irisha deshpande,1613,tn,0
92,txn_93,gayatri ghuge,4794,ghk,0
93,txn_94,neira,4567,chm,0
94,txn_95,devv chand,3719,tn,0
95,txn_96,Aarya makhija,4622,ghk,0
96,txn_97,Aarya palkar,1305,tn,0
97,txn_98,Anika agrawal,1277,ghk,0
98,txn_99,shreyas mukadam,3758,tn,0
99,txn_100,Aarya makhija,1045,ghk,0
100,txn_101,shreyas mukadam,3847,ghk,0
101,txn_102,Aarya makhija,2731,ghk,0
102,txn_103,shreyas mukadam,303,ghk,0
103,txn_104,devv chand,4216,tn,0
104,txn_105,suchit baravkar,1193,chm,0
105,txn_106,krish kanal,4723,ghk,0
106,txn_107,Arya Bailur,645,tn,0
107,txn_108,swapnil ambd,1536,tn,0
108,txn_109,devv chand,156,chm,0
109,txn_110,Aarya makhija,3908,tn,0
110,txn_111,shreyas mukadam,4494,ghk,0
111,txn_112,shreyas mukadam,1660,tn,0
112,txn_113,krish kanal,2748,ghk,0
113,txn_114,krish kanal,2069,chm,0
114,txn_115,krish kanal,1874,chm,0
115,txn_116,gayatri ghuge,2147,chm,0
116,txn_117,gayatri ghuge,4577,chm,0
